"Name"|"Symbol"|"Type"|"Locus"|"OMIM"
"filaggrin"|"FLG"|"gene with protein product"|"1q21.3"|135940
"neurobeachin like 2"|"NBEAL2"|"gene with protein product"|"3p21.31"|614169
"plasminogen"|"PLG"|"gene with protein product"|"6q26"|173350
"kallikrein B1"|"KLKB1"|"gene with protein product"|"4q35.2"|229000
"integrin subunit alpha 2"|"ITGA2"|"gene with protein product"|"5q11.2"|192974
"CD109 molecule"|"CD109"|"gene with protein product"|"6q13"|608859
"kininogen 1"|"KNG1"|"gene with protein product"|"3q27.3"|612358
"serpin family E member 1"|"SERPINE1"|"gene with protein product"|"7q22.1"|173360
"5-hydroxytryptamine receptor 1A"|"HTR1A"|"gene with protein product"|"5q12.3"|109760
"cell division cycle 73"|"CDC73"|"gene with protein product"|"1q31.2"|607393
"nuclear receptor subfamily 3 group C member 1"|"NR3C1"|"gene with protein product"|"5q31.3"|138040
"potassium voltage-gated channel subfamily E regulatory subunit 1"|"KCNE1"|"gene with protein product"|"21q22.12"|176261
"potassium voltage-gated channel subfamily E regulatory subunit 2"|"KCNE2"|"gene with protein product"|"21q22.11"|603796
"potassium inwardly rectifying channel subfamily J member 2"|"KCNJ2"|"gene with protein product"|"17q24.3"|600681
"potassium voltage-gated channel subfamily Q member 1"|"KCNQ1"|"gene with protein product"|"11p15.5-p15.4"|607542
"myosin light chain 4"|"MYL4"|"gene with protein product"|"17q21.32"|160770
"sodium voltage-gated channel beta subunit 4"|"SCN4B"|"gene with protein product"|"11q23.3"|608256
"potassium voltage-gated channel subfamily A member 5"|"KCNA5"|"gene with protein product"|"12p13.32"|176267
"nucleoporin 155"|"NUP155"|"gene with protein product"|"5p13.2"|606694
"EPS8 like 3"|"EPS8L3"|"gene with protein product"|"1p13.3"|614989
"keratin 86"|"KRT86"|"gene with protein product"|"12q13"|601928
"keratin 83"|"KRT83"|"gene with protein product"|"12q13.13"|602765
"keratin 81"|"KRT81"|"gene with protein product"|"12q13.13"|602153
"desmoglein 4"|"DSG4"|"gene with protein product"|"18q12.1"|607892
"ATP binding cassette subfamily B member 6 (Langereis blood group)"|"ABCB6"|"gene with protein product"|"2q35"|605452
"loricrin cornified envelope precursor protein"|"LORICRIN"|"gene with protein product"|"1q21.3"|152445
"FERM domain containing kindlin 1"|"FERMT1"|"gene with protein product"|"20p12.3"|607900
"activating signal cointegrator 1 complex subunit 1"|"ASCC1"|"gene with protein product"|"10q22.1"|614215
"thyroid hormone receptor interactor 4"|"TRIP4"|"gene with protein product"|"15q22.31"|604501
"elastin microfibril interfacer 1"|"EMILIN1"|"gene with protein product"|"2p23.3"|130660
"mitochondrial fission factor"|"MFF"|"gene with protein product"|"2q36.3"|614785
"empty spiracles homeobox 2"|"EMX2"|"gene with protein product"|"10q26.11"|600035
"adenylosuccinate synthase 1"|"ADSS1"|"gene with protein product"|"14q32.33"|612498
"transport and golgi organization 2 homolog"|"TANGO2"|"gene with protein product"|"22q11.21"|616830
"TATA-box binding protein associated factor 1"|"TAF1"|"gene with protein product"|"Xq13.1"|313650
"ER membrane protein complex subunit 1"|"EMC1"|"gene with protein product"|"1p36.13"|616846
"doublecortin domain containing 2"|"DCDC2"|"gene with protein product"|"6p22.3"|605755
"phosphodiesterase 2A"|"PDE2A"|"gene with protein product"|"11q13.4"|602658
"SRC proto-oncogene, non-receptor tyrosine kinase"|"SRC"|"gene with protein product"|"20q11.23"|190090
"protein O-glucosyltransferase 1"|"POGLUT1"|"gene with protein product"|"3q13.33"|615618
"ubiquitin specific peptidase 18"|"USP18"|"gene with protein product"|"22q11.2"|607057
"nuclear receptor subfamily 1 group H member 4"|"NR1H4"|"gene with protein product"|"12q23.1"|603826
"plasminogen activator, tissue type"|"PLAT"|"gene with protein product"|"8p11.21"|173370
"mutS homolog 3"|"MSH3"|"gene with protein product"|"5q14.1"|600887
"thioredoxin 2"|"TXN2"|"gene with protein product"|"22q12.3"|609063
"tRNA methyltransferase 10C, mitochondrial RNase P subunit"|"TRMT10C"|"gene with protein product"|"3q12.3"|615423
"lysine demethylase 1A"|"KDM1A"|"gene with protein product"|"1p36.12"|609132
"RAR related orphan receptor C"|"RORC"|"gene with protein product"|"1q21"|602943
"mitochondrial intermediate peptidase"|"MIPEP"|"gene with protein product"|"13q12.12"|602241
"PR/SET domain 12"|"PRDM12"|"gene with protein product"|"9q34.12"|616458
"interleukin 21"|"IL21"|"gene with protein product"|"4q27"|605384
"tRNA methyltransferase 5"|"TRMT5"|"gene with protein product"|"14q23.1"|611023
"glutamic--pyruvic transaminase 2"|"GPT2"|"gene with protein product"|"16q11.2"|138210
"ubiquitin specific peptidase 6"|"USP6"|"gene with protein product"|"17p13.2"|604334
"cysteinyl-tRNA synthetase 2, mitochondrial"|"CARS2"|"gene with protein product"|"13q34"|612800
"transferrin receptor"|"TFRC"|"gene with protein product"|"3q29"|190010
"trio Rho guanine nucleotide exchange factor"|"TRIO"|"gene with protein product"|"5p15.2"|601893
"peripheral myelin protein 2"|"PMP2"|"gene with protein product"|"8q21.13"|170715
"adhesion G protein-coupled receptor E2"|"ADGRE2"|"gene with protein product"|"19p13.12"|606100
"telomere maintenance 2"|"TELO2"|"gene with protein product"|"16p13.3"|611140
"DEAD-box helicase 41"|"DDX41"|"gene with protein product"|"5q35.3"|608170
"transketolase"|"TKT"|"gene with protein product"|"3p21.1"|606781
"pseudouridine synthase 3"|"PUS3"|"gene with protein product"|"11q24.2"|616283
"TBC1 domain containing kinase"|"TBCK"|"gene with protein product"|"4q24"|616899
"SIX homeobox 2"|"SIX2"|"gene with protein product"|"2p21"|604994
"G protein subunit beta 1"|"GNB1"|"gene with protein product"|"1p36.33"|139380
"calpain 1"|"CAPN1"|"gene with protein product"|"11q13.1"|114220
"microRNA 204"|"MIR204"|"Non-coding RNA"|"9q21.12"|610942
"methylsterol monooxygenase 1"|"MSMO1"|"gene with protein product"|"4q32.3"|607545
"WEE2 oocyte meiosis inhibiting kinase"|"WEE2"|"gene with protein product"|"7q34"|614084
"pannexin 1"|"PANX1"|"gene with protein product"|"11q21"|608420
"PAT1 homolog 2"|"PATL2"|"gene with protein product"|"15q21.1"|614661
"tubulin beta 8 class VIII"|"TUBB8"|"gene with protein product"|"10p15.3"|616768
"cell division cycle 42"|"CDC42"|"gene with protein product"|"1p36.12"|116952
"diacylglycerol O-acyltransferase 2"|"DGAT2"|"gene with protein product"|"11q13.5"|606983
"claudin 16"|"CLDN16"|"gene with protein product"|"3q28"|603959
"transient receptor potential cation channel subfamily M member 6"|"TRPM6"|"gene with protein product"|"9q21.13"|607009
"arginine vasopressin"|"AVP"|"gene with protein product"|"20p13"|192340
"blood vessel epicardial substance"|"BVES"|"gene with protein product"|"6q21"|604577
"glutamate-ammonia ligase"|"GLUL"|"gene with protein product"|"1q25.3"|138290
"Rh blood group CcEe antigens"|"RHCE"|"gene with protein product"|"1p36.11"|111700
"Rh blood group D antigen"|"RHD"|"gene with protein product"|"1p36.11"|111680
"hydroxyacyl-CoA dehydrogenase"|"HADH"|"gene with protein product"|"4q25"|601609
"interleukin 1 receptor associated kinase 4"|"IRAK4"|"gene with protein product"|"12q12"|606883
"sepiapterin reductase"|"SPR"|"gene with protein product"|"2p13.2"|182125
"tumor protein p73"|"TP73"|"gene with protein product"|"1p36.32"|601990
"NADH:ubiquinone oxidoreductase subunit B8"|"NDUFB8"|"gene with protein product"|"10q24.31"|602140
"leucine rich pentatricopeptide repeat containing"|"LRPPRC"|"gene with protein product"|"2p21"|607544
"protein tyrosine phosphatase non-receptor type 3"|"PTPN3"|"gene with protein product"|"9q31"|176877
"SRY-box transcription factor 18"|"SOX18"|"gene with protein product"|"20q13.33"|601618
"homeobox A1"|"HOXA1"|"gene with protein product"|"7p15.2"|142955
"ATP binding cassette subfamily B member 4"|"ABCB4"|"gene with protein product"|"7q21.12"|171060
"ATP binding cassette subfamily B member 11"|"ABCB11"|"gene with protein product"|"2q31.1"|603201
"ATPase phospholipid transporting 8B1"|"ATP8B1"|"gene with protein product"|"18q21.31"|602397
"keratin 14"|"KRT14"|"gene with protein product"|"17q21.2"|148066
"keratin 85"|"KRT85"|"gene with protein product"|"12q13.13"|602767
"homeobox C13"|"HOXC13"|"gene with protein product"|"12q13.13"|142976
"solute carrier family 5 member 2"|"SLC5A2"|"gene with protein product"|"16p11.2"|182381
"AU RNA binding methylglutaconyl-CoA hydratase"|"AUH"|"gene with protein product"|"9q22.31"|600529
"mitochondrial contact site and cristae organizing system subunit 13"|"MICOS13"|"gene with protein product"|"19p13.3"|616658
"outer mitochondrial membrane lipid metabolism regulator OPA3"|"OPA3"|"gene with protein product"|"19q13.32"|606580
"C1q and TNF related 5"|"C1QTNF5"|"gene with protein product"|"11q23.3"|608752
"hyaluronidase 1"|"HYAL1"|"gene with protein product"|"3p21.31"|607071
"purinergic receptor P2X 7"|"P2RX7"|"gene with protein product"|"12q24.31"|602566
"immunoglobulin heavy variable 3-21"|"IGHV3-21"|"gene with protein product"|"14q32.33"|
"ADP ribosylation factor like GTPase 11"|"ARL11"|"gene with protein product"|"13q14.2"|609351
"ribosomal protein S15"|"RPS15"|"gene with protein product"|"19p13.3"|180535
"IKAROS family zinc finger 3"|"IKZF3"|"gene with protein product"|"17q12-q21.1"|606221
"BMP binding endothelial regulator"|"BMPER"|"gene with protein product"|"7p14.3"|608699
"DnaJ heat shock protein family (Hsp40) member C19"|"DNAJC19"|"gene with protein product"|"3q26.33"|608977
"synaptosome associated protein 29"|"SNAP29"|"gene with protein product"|"22q11.21"|604202
"kinesin family binding protein"|"KIFBP"|"gene with protein product"|"10q22.1"|609367
"leptin"|"LEP"|"gene with protein product"|"7q32.1"|164160
"beta-ureidopropionase 1"|"UPB1"|"gene with protein product"|"22q11.23"|606673
"centrosomal protein 126"|"CEP126"|"gene with protein product"|"11q22.1"|614634
"transforming growth factor beta receptor 1"|"TGFBR1"|"gene with protein product"|"9q22.33"|190181
"multiple EGF like domains 8"|"MEGF8"|"gene with protein product"|"19q13.2"|604267
"RAB23, member RAS oncogene family"|"RAB23"|"gene with protein product"|"6p12.1-p11.2"|606144
"periaxin"|"PRX"|"gene with protein product"|"19q13.2"|605725
"early growth response 2"|"EGR2"|"gene with protein product"|"10q21.3"|129010
"nerve growth factor"|"NGF"|"gene with protein product"|"1p13.2"|162030
"phosphoinositide-3-kinase regulatory subunit 5"|"PIK3R5"|"gene with protein product"|"17p13.1"|611317
"sine oculis binding protein homolog"|"SOBP"|"gene with protein product"|"6q21"|613667
"selenium binding protein 1"|"SELENBP1"|"gene with protein product"|"1q21.3"|604188
"transmembrane protein 94"|"TMEM94"|"gene with protein product"|"17q25.1"|618163
"calcium voltage-gated channel subunit alpha1 H"|"CACNA1H"|"gene with protein product"|"16p13.3"|607904
"protein C receptor"|"PROCR"|"gene with protein product"|"20q11.22"|600646
"serpin family A member 10"|"SERPINA10"|"gene with protein product"|"14q32.13"|605271
"cytochrome p450 oxidoreductase"|"POR"|"gene with protein product"|"7q11.23"|124015
"Indian hedgehog signaling molecule"|"IHH"|"gene with protein product"|"2q35"|600726
"claudin 1"|"CLDN1"|"gene with protein product"|"3q28"|603718
"X-linked Kx blood group"|"XK"|"gene with protein product"|"Xp21.1"|314850
"solute carrier family 34 member 2"|"SLC34A2"|"gene with protein product"|"4p15.2"|604217
"ATPase Na+/K+ transporting subunit alpha 1"|"ATP1A1"|"gene with protein product"|"1p13.1"|182310
"serine peptidase inhibitor, Kunitz type 2"|"SPINT2"|"gene with protein product"|"19q13.2"|605124
"TIMP metallopeptidase inhibitor 3"|"TIMP3"|"gene with protein product"|"22q12.3"|188826
"heterogeneous nuclear ribonucleoprotein D like"|"HNRNPDL"|"gene with protein product"|"4q21.22"|607137
"APC down-regulated 1"|"APCDD1"|"gene with protein product"|"18p11.22"|607479
"ribosomal protein L21"|"RPL21"|"gene with protein product"|"13q12.2"|603636
"small nuclear ribonucleoprotein polypeptide E"|"SNRPE"|"gene with protein product"|"1q32.1"|128260
"hepcidin antimicrobial peptide"|"HAMP"|"gene with protein product"|"19q13.12"|606464
"hemojuvelin BMP co-receptor"|"HJV"|"gene with protein product"|"1q21.1"|608374
"galactokinase 1"|"GALK1"|"gene with protein product"|"17q25.1"|604313
"GTP dependent ribosome recycling factor mitochondrial 2"|"GFM2"|"gene with protein product"|"5q13.3"|606544
"patatin like phospholipase domain containing 2"|"PNPLA2"|"gene with protein product"|"11p15.5"|609059
"acyl-CoA dehydrogenase short/branched chain"|"ACADSB"|"gene with protein product"|"10q26.13"|600301
"kynureninase"|"KYNU"|"gene with protein product"|"2q22.2"|605197
"solute carrier family 17 member 9"|"SLC17A9"|"gene with protein product"|"20q13.33"|612107
"mevalonate diphosphate decarboxylase"|"MVD"|"gene with protein product"|"16q24.2"|603236
"farnesyl diphosphate synthase"|"FDPS"|"gene with protein product"|"1q22"|134629
"protein O-fucosyltransferase 1"|"POFUT1"|"gene with protein product"|"20q11.21"|607491
"acyl-CoA dehydrogenase family member 8"|"ACAD8"|"gene with protein product"|"11q25"|604773
"thyroid hormone receptor alpha"|"THRA"|"gene with protein product"|"17q21.1"|190120
"thyroid hormone receptor beta"|"THRB"|"gene with protein product"|"3p24.2"|190160
"GLIS family zinc finger 3"|"GLIS3"|"gene with protein product"|"9p24.2"|610192
"elongation factor Tu GTP binding domain containing 2"|"EFTUD2"|"gene with protein product"|"17q21.31"|603892
"gamma-aminobutyric acid type A receptor subunit alpha3"|"GABRA3"|"gene with protein product"|"Xq28"|305660
"potassium inwardly rectifying channel subfamily J member 18"|"KCNJ18"|"gene with protein product"|"17p11.2"|613236
"cAMP responsive element binding protein 3 like 2"|"CREB3L2"|"gene with protein product"|"7q33"|608834
"aldehyde dehydrogenase 4 family member A1"|"ALDH4A1"|"gene with protein product"|"1p36.13"|606811
"FYN binding protein 1"|"FYB1"|"gene with protein product"|"5p13.1"|602731
"alpha-methylacyl-CoA racemase"|"AMACR"|"gene with protein product"|"5p13.2"|604489
"YY1 associated protein 1"|"YY1AP1"|"gene with protein product"|"1q22"|607860
"CD55 molecule (Cromer blood group)"|"CD55"|"gene with protein product"|"1q32.2"|125240
"pyridoxamine 5'-phosphate oxidase"|"PNPO"|"gene with protein product"|"17q21.32"|603287
"potassium calcium-activated channel subfamily M alpha 1"|"KCNMA1"|"gene with protein product"|"10q22.3"|600150
"SP110 nuclear body protein"|"SP110"|"gene with protein product"|"2q37.1"|604457
"sphingomyelin phosphodiesterase 1"|"SMPD1"|"gene with protein product"|"11p15.4"|607608
"lipin 2"|"LPIN2"|"gene with protein product"|"18p11.31"|605519
"DNA topoisomerase II beta"|"TOP2B"|"gene with protein product"|"3p24.2"|126431
"DNase1 hypersensitivity, chromosome 6, site 1"|"DHS6S1"|"Disorder-associated locus"|"6q16.2"|616842
"regulator of G protein signaling 9 binding protein"|"RGS9BP"|"gene with protein product"|"19q13.11"|607814
"regulator of G protein signaling 9"|"RGS9"|"gene with protein product"|"17q24.1"|604067
"EGF containing fibulin extracellular matrix protein 1"|"EFEMP1"|"gene with protein product"|"2p16.1"|601548
"minichromosome maintenance complex component 4"|"MCM4"|"gene with protein product"|"8q11.21"|602638
"beta-1,4-galactosyltransferase 7"|"B4GALT7"|"gene with protein product"|"5q35.3"|604327
"splicing factor 3b subunit 1"|"SF3B1"|"gene with protein product"|"2q33.1"|605590
"ER membrane associated RNA degradation"|"ERMARD"|"gene with protein product"|"6q27"|615532
"vascular endothelial growth factor C"|"VEGFC"|"gene with protein product"|"4q34.3"|601528
"insulin like growth factor 1"|"IGF1"|"gene with protein product"|"12q23.2"|147440
"insulin like growth factor 1 receptor"|"IGF1R"|"gene with protein product"|"15q26.3"|147370
"kinesin family member 20A"|"KIF20A"|"gene with protein product"|"5q31.2"|605664
"homeobox A11"|"HOXA11"|"gene with protein product"|"7p15.2"|142958
"proopiomelanocortin"|"POMC"|"gene with protein product"|"2p23.3"|176830
"proprotein convertase subtilisin/kexin type 1"|"PCSK1"|"gene with protein product"|"5q15"|162150
"melanocortin 4 receptor"|"MC4R"|"gene with protein product"|"18q21.32"|155541
"iron-sulfur cluster assembly 1"|"ISCA1"|"gene with protein product"|"9q21.33"|611006
"peptidase, mitochondrial processing subunit beta"|"PMPCB"|"gene with protein product"|"7q22.1"|603131
"tumor necrosis factor"|"TNF"|"gene with protein product"|"6p21.33"|191160
"cysteinyl leukotriene receptor 2"|"CYSLTR2"|"gene with protein product"|"13q14.2"|605666
"dihydropyrimidinase"|"DPYS"|"gene with protein product"|"8q22.3"|613326
"serpin family I member 1"|"SERPINI1"|"gene with protein product"|"3q26.1"|602445
"forkhead box P3"|"FOXP3"|"gene with protein product"|"Xp11.23"|300292
"sarcoglycan epsilon"|"SGCE"|"gene with protein product"|"7q21.3"|604149
"dopamine receptor D2"|"DRD2"|"gene with protein product"|"11q23.2"|126450
"dystonia 15, myoclonic"|"DYT15"|"Disorder-associated locus"|"18p11"|
"potassium channel tetramerization domain containing 17"|"KCTD17"|"gene with protein product"|"22q12.3"|616386
"cytochrome P450 family 4 subfamily V member 2"|"CYP4V2"|"gene with protein product"|"4q35.1-q35.2"|608614
"solute carrier family 6 member 20"|"SLC6A20"|"gene with protein product"|"3p21.31"|605616
"solute carrier family 36 member 2"|"SLC36A2"|"gene with protein product"|"5q33.1"|608331
"solute carrier family 6 member 18"|"SLC6A18"|"gene with protein product"|"5p15.33"|610300
"succinyl-CoA:glutarate-CoA transferase"|"SUGCT"|"gene with protein product"|"7p14.1"|609187
"solute carrier family 5 member 1"|"SLC5A1"|"gene with protein product"|"22q12.3"|182380
"dopa decarboxylase"|"DDC"|"gene with protein product"|"7p12.2-p12.1"|107930
"SPG7 matrix AAA peptidase subunit, paraplegin"|"SPG7"|"gene with protein product"|"16q24.3"|602783
"3-hydroxy-3-methylglutaryl-CoA synthase 2"|"HMGCS2"|"gene with protein product"|"1p12"|600234
"transmembrane protein 98"|"TMEM98"|"gene with protein product"|"17q11.2"|615949
"retina and anterior neural fold homeobox"|"RAX"|"gene with protein product"|"18q21.32"|601881
"aldehyde dehydrogenase 1 family member A3"|"ALDH1A3"|"gene with protein product"|"15q26.3"|600463
"serine protease 56"|"PRSS56"|"gene with protein product"|"2q37.1"|613858
"5'-nucleotidase, cytosolic IIIA"|"NT5C3A"|"gene with protein product"|"7p14.3"|606224
"24-dehydrocholesterol reductase"|"DHCR24"|"gene with protein product"|"1p32.3"|606418
"sucrase-isomaltase"|"SI"|"gene with protein product"|"3q26.1"|609845
"syntaxin 1B"|"STX1B"|"gene with protein product"|"16p11.2"|601485
"purinergic receptor P2Y12"|"P2RY12"|"gene with protein product"|"3q25.1"|600515
"zinc finger and BTB domain containing 18"|"ZBTB18"|"gene with protein product"|"1q44"|608433
"atlastin GTPase 1"|"ATL1"|"gene with protein product"|"14q22.1"|606439
"serine palmitoyltransferase long chain base subunit 2"|"SPTLC2"|"gene with protein product"|"14q24.3"|605713
"atlastin GTPase 3"|"ATL3"|"gene with protein product"|"11q13.1"|609369
"glutamate dehydrogenase 1"|"GLUD1"|"gene with protein product"|"10q23.2"|138130
"amnion associated transmembrane protein"|"AMN"|"gene with protein product"|"14q32.32"|605799
"cubilin"|"CUBN"|"gene with protein product"|"10p13"|602997
"multiple coagulation factor deficiency 2, ER cargo receptor complex subunit"|"MCFD2"|"gene with protein product"|"2p21"|607788
"lectin, mannose binding 1"|"LMAN1"|"gene with protein product"|"18q21.32"|601567
"5-oxoprolinase, ATP-hydrolysing"|"OPLAH"|"gene with protein product"|"8q24.3"|614243
"tetratricopeptide repeat and ankyrin repeat containing 1"|"TRANK1"|"gene with protein product"|"3p22.2"|619316
"myosin VA"|"MYO5A"|"gene with protein product"|"15q21.2"|160777
"glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1"|"GPIHBP1"|"gene with protein product"|"8q24.3"|612757
"angiotensin I converting enzyme"|"ACE"|"gene with protein product"|"17q23.3"|106180
"gamma-glutamyltransferase 1"|"GGT1"|"gene with protein product"|"22q11.23"|612346
"immunoglobulin heavy constant mu"|"IGHM"|"gene with protein product"|"14q32.33"|147020
"immunoglobulin lambda like polypeptide 1"|"IGLL1"|"gene with protein product"|"22q11.23"|146770
"leucine rich repeat containing 8 VRAC subunit A"|"LRRC8A"|"gene with protein product"|"9q34.11"|608360
"transcription factor 3"|"TCF3"|"gene with protein product"|"19p13.3"|147141
"CD79a molecule"|"CD79A"|"gene with protein product"|"19q13.2"|112205
"CD79b molecule"|"CD79B"|"gene with protein product"|"17q23.3"|147245
"B cell linker"|"BLNK"|"gene with protein product"|"10q24.1"|604515
"cholinergic receptor nicotinic alpha 1 subunit"|"CHRNA1"|"gene with protein product"|"2q31.1"|100690
"cholinergic receptor nicotinic delta subunit"|"CHRND"|"gene with protein product"|"2q37.1"|100720
"protocadherin 19"|"PCDH19"|"gene with protein product"|"Xq22.1"|300460
"forkhead box C2"|"FOXC2"|"gene with protein product"|"16q24.1"|602402
"adenylate kinase 2"|"AK2"|"gene with protein product"|"1p35.1"|103020
"lipase maturation factor 1"|"LMF1"|"gene with protein product"|"16p13.3"|611761
"M-phase specific PLK1 interacting protein"|"MPLKIP"|"gene with protein product"|"7p14.1"|609188
"general transcription factor IIH subunit 5"|"GTF2H5"|"gene with protein product"|"6q25.3"|608780
"ring finger protein 113A"|"RNF113A"|"gene with protein product"|"Xq24"|300951
"general transcription factor IIE subunit 2"|"GTF2E2"|"gene with protein product"|"8p12"|189964
"threonyl-tRNA synthetase 1"|"TARS1"|"gene with protein product"|"5p13.3"|187790
"patatin like phospholipase domain containing 3"|"PNPLA3"|"gene with protein product"|"22q13.31"|609567
"Janus kinase 3"|"JAK3"|"gene with protein product"|"19p13.11"|600173
"DnaJ heat shock protein family (Hsp40) member B6"|"DNAJB6"|"gene with protein product"|"7q36.3"|611332
"lysosomal associated membrane protein 2"|"LAMP2"|"gene with protein product"|"Xq24"|309060
"transporter 2, ATP binding cassette subfamily B member"|"TAP2"|"gene with protein product"|"6p21.32"|170261
"transporter 1, ATP binding cassette subfamily B member"|"TAP1"|"gene with protein product"|"6p21.32"|170260
"TAP binding protein"|"TAPBP"|"gene with protein product"|"6p21.32"|601962
"FXYD domain containing ion transport regulator 2"|"FXYD2"|"gene with protein product"|"11q23.3"|601814
"AE binding protein 1"|"AEBP1"|"gene with protein product"|"7p13"|602981
"solute carrier family 6 member 8"|"SLC6A8"|"gene with protein product"|"Xq28"|300036
"heterogeneous nuclear ribonucleoprotein A2/B1"|"HNRNPA2B1"|"gene with protein product"|"7p15.2"|600124
"baculoviral IAP repeat containing 3"|"BIRC3"|"gene with protein product"|"11q22.2"|601721
"BCL10 immune signaling adaptor"|"BCL10"|"gene with protein product"|"1p22.3"|603517
"immunoglobulin binding protein 1"|"IGBP1"|"gene with protein product"|"Xq13.1"|300139
"translocase of inner mitochondrial membrane 8A"|"TIMM8A"|"gene with protein product"|"Xq22.1"|300356
"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1"|"ATP2A1"|"gene with protein product"|"16p11.2"|108730
"follicle stimulating hormone subunit beta"|"FSHB"|"gene with protein product"|"11p14.1"|136530
"solute carrier family 26 member 3"|"SLC26A3"|"gene with protein product"|"7q22.3-q31.1"|126650
"pleckstrin homology and RUN domain containing M2"|"PLEKHM2"|"gene with protein product"|"1p36.21"|609613
"dystrobrevin alpha"|"DTNA"|"gene with protein product"|"18q12.1"|601239
"MIB E3 ubiquitin protein ligase 1"|"MIB1"|"gene with protein product"|"18q11.2"|608677
"myosin heavy chain 7B"|"MYH7B"|"gene with protein product"|"20q11.22"|609928
"MIB E3 ubiquitin protein ligase 2"|"MIB2"|"gene with protein product"|"1p36.33"|611141
"X-linked inhibitor of apoptosis"|"XIAP"|"gene with protein product"|"Xq25"|300079
"SH2 domain containing 1A"|"SH2D1A"|"gene with protein product"|"Xq25"|300490
"keratocan"|"KERA"|"gene with protein product"|"12q21.33"|603288
"ceruloplasmin"|"CP"|"gene with protein product"|"3q24-q25.1"|117700
"phosphodiesterase 6H"|"PDE6H"|"gene with protein product"|"12p12.3"|601190
"CD70 molecule"|"CD70"|"gene with protein product"|"19p13.3"|602840
"CTD phosphatase subunit 1"|"CTDP1"|"gene with protein product"|"18q23"|604927
"IL2 inducible T cell kinase"|"ITK"|"gene with protein product"|"5q33.3"|186973
"SEC23 homolog A, COPII coat complex component"|"SEC23A"|"gene with protein product"|"14q21.1"|610511
"solute carrier family 19 member 2"|"SLC19A2"|"gene with protein product"|"1q24.2"|603941
"solute carrier family 4 member 3"|"SLC4A3"|"gene with protein product"|"2q35"|106195
"potassium voltage-gated channel subfamily H member 2"|"KCNH2"|"gene with protein product"|"7q36.1"|152427
"cathepsin B"|"CTSB"|"gene with protein product"|"8p23.1"|116810
"PHD finger protein 21A"|"PHF21A"|"gene with protein product"|"11p11.2"|608325
"ETHE1 persulfide dioxygenase"|"ETHE1"|"gene with protein product"|"19q13.31"|608451
"isoleucyl-tRNA synthetase 1"|"IARS1"|"gene with protein product"|"9q22.31"|600709
"formimidoyltransferase cyclodeaminase"|"FTCD"|"gene with protein product"|"21q22.3"|606806
"C-X-C motif chemokine receptor 4"|"CXCR4"|"gene with protein product"|"2q22.1"|162643
"G protein subunit beta 5"|"GNB5"|"gene with protein product"|"15q21.2"|604447
"capping protein regulator and myosin 1 linker 2"|"CARMIL2"|"gene with protein product"|"16q22.1"|610859
"small nucleolar RNA, C/D box 118"|"SNORD118"|"Non-coding RNA"|"17p13.1"|616663
"ferredoxin reductase"|"FDXR"|"gene with protein product"|"17q25.1"|103270
"iron-sulfur cluster assembly enzyme"|"ISCU"|"gene with protein product"|"12q23.3"|611911
"carbonic anhydrase 12"|"CA12"|"gene with protein product"|"15q22.2"|603263
"paired like homeobox 2A"|"PHOX2A"|"gene with protein product"|"11q13.4"|602753
"kinesin family member 21A"|"KIF21A"|"gene with protein product"|"12q12"|608283
"sterol-C5-desaturase"|"SC5D"|"gene with protein product"|"11q23.3-q24.1"|602286
"ring finger protein 13"|"RNF13"|"gene with protein product"|"3q25.1"|609247
"ornithine decarboxylase 1"|"ODC1"|"gene with protein product"|"2p25.1"|165640
"prune exopolyphosphatase 1"|"PRUNE1"|"gene with protein product"|"1q21.3"|617413
"myosin light chain 1"|"MYL1"|"gene with protein product"|"2q34"|160780
"NAD(P)HX dehydratase"|"NAXD"|"gene with protein product"|"13q34"|615910
"NAD(P)HX epimerase"|"NAXE"|"gene with protein product"|"1q22"|608862
"CCR4-NOT transcription complex subunit 1"|"CNOT1"|"gene with protein product"|"16q21"|604917
"glutaminase"|"GLS"|"gene with protein product"|"2q32.2"|138280
"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha"|"PIK3C2A"|"gene with protein product"|"11p15.1"|603601
"C3 and PZP like alpha-2-macroglobulin domain containing 8"|"CPAMD8"|"gene with protein product"|"19p13.11"|608841
"solute carrier family 46 member 1"|"SLC46A1"|"gene with protein product"|"17q11.2"|611672
"erythropoietin receptor"|"EPOR"|"gene with protein product"|"19p13.2"|133171
"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"|"LAMTOR2"|"gene with protein product"|"1q22"|610389
"hexokinase 1"|"HK1"|"gene with protein product"|"10q22.1"|142600
"glutathione-disulfide reductase"|"GSR"|"gene with protein product"|"8p12"|138300
"phosphate regulating endopeptidase homolog X-linked"|"PHEX"|"gene with protein product"|"Xp22.11"|300550
"katanin regulatory subunit B1"|"KATNB1"|"gene with protein product"|"16q21"|602703
"reelin"|"RELN"|"gene with protein product"|"7q22.1"|600514
"barttin CLCNK type accessory subunit beta"|"BSND"|"gene with protein product"|"1p32.3"|606412
"chloride voltage-gated channel Ka"|"CLCNKA"|"gene with protein product"|"1p36.13"|602024
